Name,RAM,ROM,Sold Quantity,Rating
vivo T2x 5G,6,128,55964,4.4
vivo T2x 5G,8,128,14084,4.3
POCO X5 5G,6,128,9597,4.1
Infinix Note 12 Pro 5G,8,128,28742,4.1
Infinix Note 12 Pro 5G,8,128,28742,4.1
POCO M4 5G,4,64,81726,4.2
Google Pixel 6a,6,128,49004,4.3
Google Pixel 6a,6,128,49004,4.3
realme 10 Pro 5G,8,128,20626,4.3
realme 10 Pro 5G,8,128,20626,4.3
realme 10 Pro 5G,6,128,27933,4.3
realme 10 Pro 5G,6,128,27933,4.3
vivo T2 5G,6,128,28830,4.4
Infinix HOT 20 5G,4,64,12333,4.2
Infinix HOT 20 5G,4,64,12333,4.2
POCO X5 5G,8,256,3281,4.1
realme GT 2,8,128,11267,4.3
realme GT 2,8,128,11267,4.3
Infinix HOT 20 5G,4,64,12333,4.2
REDMI Note 12 5G,6,128,2267,4.2
REDMI Note 12 5G,6,128,2267,4.2
REDMI Note 12 5G,4,128,598,"41,"
APPLE iPhone 13,0,128,230108,4.7
POCO M4 5G,6,128,42518,4.2
